EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 18-04-2023
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AKUREYRI, ICELAND (STAID: 2943)
Blended and updated with sources:75821 904063 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
  2943, 75821,19490101,  -40,    0
  2943, 75821,19490102,  -88,    0
  2943, 75821,19490103,  -80,    0
  2943, 75821,19490104,  -50,    0
  2943, 75821,19490105,  -25,    0
  2943, 75821,19490106,  -20,    0
  2943, 75821,19490107,  -47,    0
  2943, 75821,19490108,  -15,    0
  2943, 75821,19490109,  120,    0
  2943, 75821,19490110,   85,    0
  2943, 75821,19490111,  -40,    0
  2943, 75821,19490112,  -40,    0
  2943, 75821,19490113,   40,    0
  2943, 75821,19490114,   10,    0
  2943, 75821,19490115,   45,    0
  2943, 75821,19490116,   40,    0
  2943, 75821,19490117,  -20,    0
  2943, 75821,19490118,   -5,    0
  2943, 75821,19490119,  -20,    0
  2943, 75821,19490120,    0,    0
  2943, 75821,19490121,    5,    0
  2943, 75821,19490122,   60,    0
  2943, 75821,19490123,   20,    0
  2943, 75821,19490124,  -10,    0
  2943, 75821,19490125,   70,    0
  2943, 75821,19490126,    0,    0
  2943, 75821,19490127,  -10,    0
  2943, 75821,19490128,   10,    0
  2943, 75821,19490129,   10,    0
  2943, 75821,19490130,   10,    0
  2943, 75821,19490131,   66,    0
  2943, 75821,19490201,   85,    0
  2943, 75821,19490202,  100,    0
  2943, 75821,19490203,   30,    0
  2943, 75821,19490204,   56,    0
  2943, 75821,19490205,   80,    0
  2943, 75821,19490206,   84,    0
  2943, 75821,19490207,   80,    0
  2943, 75821,19490208,   40,    0
  2943, 75821,19490209,   25,    0
  2943, 75821,19490210,    7,    0
  2943, 75821,19490211,   35,    0
  2943, 75821,19490212,   32,    0
  2943, 75821,19490213,   40,    0
  2943, 75821,19490214,   20,    0
  2943, 75821,19490215,   48,    0
  2943, 75821,19490216,    0,    0
  2943, 75821,19490217,  -10,    0
  2943, 75821,19490218,   48,    0
  2943, 75821,19490219,   50,    0
  2943, 75821,19490220,   30,    0
  2943, 75821,19490221,   30,    0
  2943, 75821,19490222,   20,    0
  2943, 75821,19490223,    5,    0
  2943, 75821,19490224,    0,    0
  2943, 75821,19490225,    0,    0
  2943, 75821,19490226,    0,    0
  2943, 75821,19490227,  -10,    0
  2943, 75821,19490228,  -50,    0
