EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 18-04-2023
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HELSINKI KAISANIEMI AWS, FINLAND (STAID: 7015)
Blended and updated with sources:85 42089 42200 42225 42235 42245 42295 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
  7015,    85,19510101,  -51,    0
  7015,    85,19510102,  -25,    0
  7015,    85,19510103,  -13,    0
  7015,    85,19510104,   19,    0
  7015,    85,19510105,   19,    0
  7015,    85,19510106,    9,    0
  7015,    85,19510107,  -15,    0
  7015,    85,19510108,  -75,    0
  7015,    85,19510109,  -96,    0
  7015,    85,19510110,  -99,    0
  7015,    85,19510111,  -43,    0
  7015,    85,19510112,  -50,    0
  7015,    85,19510113,  -14,    0
  7015,    85,19510114,   13,    0
  7015,    85,19510115,   15,    0
  7015,    85,19510116,   15,    0
  7015,    85,19510117,   10,    0
  7015,    85,19510118,   -4,    0
  7015,    85,19510119,    6,    0
  7015,    85,19510120,   -6,    0
  7015,    85,19510121,  -28,    0
  7015,    85,19510122, -116,    0
  7015,    85,19510123, -144,    0
  7015,    85,19510124, -140,    0
  7015,    85,19510125,  -29,    0
  7015,    85,19510126,  -33,    0
  7015,    85,19510127,  -75,    0
  7015,    85,19510128,  -56,    0
  7015,    85,19510129,  -31,    0
  7015,    85,19510130,  -26,    0
  7015,    85,19510131,  -25,    0
  7015,    85,19510201,  -42,    0
  7015,    85,19510202,  -35,    0
  7015,    85,19510203,  -35,    0
  7015,    85,19510204,  -80,    0
  7015,    85,19510205,  -71,    0
  7015,    85,19510206,  -65,    0
  7015,    85,19510207,   -9,    0
  7015,    85,19510208,   13,    0
  7015,    85,19510209,   12,    0
  7015,    85,19510210,    5,    0
  7015,    85,19510211,   -1,    0
  7015,    85,19510212,    8,    0
  7015,    85,19510213,    0,    0
  7015,    85,19510214,  -50,    0
  7015,    85,19510215, -126,    0
  7015,    85,19510216, -115,    0
  7015,    85,19510217,  -81,    0
  7015,    85,19510218,  -62,    0
  7015,    85,19510219,  -33,    0
  7015,    85,19510220,    9,    0
  7015,    85,19510221,    4,    0
  7015,    85,19510222,  -28,    0
  7015,    85,19510223,  -62,    0
  7015,    85,19510224,  -35,    0
  7015,    85,19510225,   -2,    0
  7015,    85,19510226,    4,    0
  7015,    85,19510227,   -7,    0
  7015,    85,19510228,  -47,    0
  7015,    85,19510301,  -26,    0
  7015,    85,19510302,  -44,    0
  7015,    85,19510303,  -39,    0
  7015,    85,19510304,  -35,    0
  7015,    85,19510305,  -36,    0
  7015,    85,19510306,  -36,    0
  7015,    85,19510307,  -17,    0
  7015,    85,19510308,   -9,    0
  7015,    85,19510309,  -15,    0
  7015,    85,19510310,  -33,    0
  7015,    85,19510311,  -59,    0
  7015,    85,19510312,  -62,    0
  7015,    85,19510313,   -1,    0
  7015,    85,19510314,   -1,    0
  7015,    85,19510315,  -55,    0
  7015,    85,19510316,  -57,    0
  7015,    85,19510317,  -65,    0
  7015,    85,19510318,  -72,    0
  7015,    85,19510319,  -40,    0
  7015,    85,19510320,  -40,    0
  7015,    85,19510321,  -37,    0
  7015,    85,19510322,  -40,    0
  7015,    85,19510323,   -6,    0
  7015,    85,19510324,    6,    0
  7015,    85,19510325,   -5,    0
  7015,    85,19510326,    6,    0
  7015,    85,19510327,   18,    0
  7015,    85,19510328,   18,    0
  7015,    85,19510329,   11,    0
  7015,    85,19510330,   22,    0
  7015,    85,19510331,   10,    0
  7015,    85,19510401,   15,    0
  7015,    85,19510402,   38,    0
  7015,    85,19510403,   41,    0
  7015,    85,19510404,   20,    0
  7015,    85,19510405,   35,    0
  7015,    85,19510406,   19,    0
  7015,    85,19510407,   50,    0
  7015,    85,19510408,   66,    0
  7015,    85,19510409,   53,    0
  7015,    85,19510410,   70,    0
  7015,    85,19510411,   35,    0
  7015,    85,19510412,   49,    0
  7015,    85,19510413,   52,    0
  7015,    85,19510414,   84,    0
  7015,    85,19510415,   47,    0
  7015,    85,19510416,   48,    0
  7015,    85,19510417,   31,    0
  7015,    85,19510418,   55,    0
  7015,    85,19510419,   41,    0
  7015,    85,19510420,   50,    0
  7015,    85,19510421,   40,    0
  7015,    85,19510422,   79,    0
  7015,    85,19510423,   89,    0
  7015,    85,19510424,   56,    0
  7015,    85,19510425,   96,    0
  7015,    85,19510426,  132,    0
  7015,    85,19510427,  142,    0
  7015,    85,19510428,  189,    0
  7015,    85,19510429,  172,    0
  7015,    85,19510430,  175,    0
  7015,    85,19510501,  139,    0
  7015,    85,19510502,  134,    0
  7015,    85,19510503,  113,    0
  7015,    85,19510504,  124,    0
  7015,    85,19510505,  109,    0
  7015,    85,19510506,   94,    0
  7015,    85,19510507,   87,    0
  7015,    85,19510508,   85,    0
  7015,    85,19510509,   87,    0
  7015,    85,19510510,   87,    0
  7015,    85,19510511,  116,    0
  7015,    85,19510512,  109,    0
  7015,    85,19510513,   86,    0
  7015,    85,19510514,   99,    0
  7015,    85,19510515,   91,    0
  7015,    85,19510516,  106,    0
  7015,    85,19510517,  142,    0
  7015,    85,19510518,  171,    0
  7015,    85,19510519,  177,    0
  7015,    85,19510520,  154,    0
  7015,    85,19510521,  141,    0
  7015,    85,19510522,  106,    0
  7015,    85,19510523,   99,    0
  7015,    85,19510524,   84,    0
  7015,    85,19510525,   92,    0
  7015,    85,19510526,  102,    0
  7015,    85,19510527,  129,    0
  7015,    85,19510528,  114,    0
  7015,    85,19510529,  105,    0
  7015,    85,19510530,  101,    0
  7015,    85,19510531,  166,    0
  7015,    85,19510601,  141,    0
  7015,    85,19510602,  168,    0
  7015,    85,19510603,  187,    0
  7015,    85,19510604,  174,    0
  7015,    85,19510605,  181,    0
  7015,    85,19510606,  190,    0
  7015,    85,19510607,  130,    0
  7015,    85,19510608,  165,    0
  7015,    85,19510609,  160,    0
  7015,    85,19510610,  187,    0
  7015,    85,19510611,  190,    0
  7015,    85,19510612,  149,    0
  7015,    85,19510613,  159,    0
  7015,    85,19510614,  162,    0
  7015,    85,19510615,  154,    0
  7015,    85,19510616,  196,    0
  7015,    85,19510617,  200,    0
  7015,    85,19510618,  170,    0
  7015,    85,19510619,  159,    0
  7015,    85,19510620,  159,    0
  7015,    85,19510621,  204,    0
  7015,    85,19510622,  192,    0
  7015,    85,19510623,  196,    0
  7015,    85,19510624,  184,    0
  7015,    85,19510625,  224,    0
  7015,    85,19510626,  226,    0
  7015,    85,19510627,  208,    0
  7015,    85,19510628,    0,    1
  7015,    85,19510629,  174,    0
  7015,    85,19510630,  175,    0
  7015,    85,19510701,  199,    0
  7015,    85,19510702,  190,    0
  7015,    85,19510703,  206,    0
  7015,    85,19510704,  194,    0
  7015,    85,19510705,  164,    0
  7015,    85,19510706,  170,    0
  7015,    85,19510707,  174,    0
  7015,    85,19510708,  173,    0
  7015,    85,19510709,  167,    0
  7015,    85,19510710,  168,    0
  7015,    85,19510711,  172,    0
  7015,    85,19510712,  253,    0
  7015,    85,19510713,  243,    0
  7015,    85,19510714,  219,    0
  7015,    85,19510715,  222,    0
  7015,    85,19510716,  202,    0
  7015,    85,19510717,  210,    0
  7015,    85,19510718,  182,    0
  7015,    85,19510719,  172,    0
  7015,    85,19510720,  160,    0
  7015,    85,19510721,  172,    0
  7015,    85,19510722,  164,    0
  7015,    85,19510723,  163,    0
  7015,    85,19510724,  195,    0
  7015,    85,19510725,  208,    0
  7015,    85,19510726,  244,    0
  7015,    85,19510727,  223,    0
  7015,    85,19510728,  229,    0
  7015,    85,19510729,  181,    0
  7015,    85,19510730,  197,    0
  7015,    85,19510731,  216,    0
  7015,    85,19510801,  206,    0
  7015,    85,19510802,  216,    0
  7015,    85,19510803,  241,    0
  7015,    85,19510804,  242,    0
  7015,    85,19510805,  245,    0
  7015,    85,19510806,  227,    0
  7015,    85,19510807,  203,    0
  7015,    85,19510808,  246,    0
  7015,    85,19510809,  244,    0
  7015,    85,19510810,  212,    0
  7015,    85,19510811,  191,    0
  7015,    85,19510812,  184,    0
  7015,    85,19510813,  224,    0
  7015,    85,19510814,  207,    0
  7015,    85,19510815,  213,    0
  7015,    85,19510816,  205,    0
  7015,    85,19510817,  187,    0
  7015,    85,19510818,  204,    0
  7015,    85,19510819,  192,    0
  7015,    85,19510820,  210,    0
  7015,    85,19510821,  224,    0
  7015,    85,19510822,  220,    0
  7015,    85,19510823,  220,    0
  7015,    85,19510824,  218,    0
  7015,    85,19510825,  226,    0
  7015,    85,19510826,  230,    0
  7015,    85,19510827,  221,    0
  7015,    85,19510828,  210,    0
  7015,    85,19510829,  232,    0
  7015,    85,19510830,  212,    0
  7015,    85,19510831,  240,    0
  7015,    85,19510901,  233,    0
  7015,    85,19510902,  212,    0
  7015,    85,19510903,  200,    0
  7015,    85,19510904,  192,    0
  7015,    85,19510905,  192,    0
  7015,    85,19510906,  219,    0
  7015,    85,19510907,  181,    0
  7015,    85,19510908,  167,    0
  7015,    85,19510909,  161,    0
  7015,    85,19510910,  157,    0
  7015,    85,19510911,  175,    0
  7015,    85,19510912,  178,    0
  7015,    85,19510913,  179,    0
  7015,    85,19510914,  195,    0
  7015,    85,19510915,  186,    0
  7015,    85,19510916,  170,    0
  7015,    85,19510917,  165,    0
  7015,    85,19510918,  160,    0
  7015,    85,19510919,  133,    0
  7015,    85,19510920,  104,    0
  7015,    85,19510921,  100,    0
  7015,    85,19510922,  107,    0
  7015,    85,19510923,  116,    0
  7015,    85,19510924,  128,    0
  7015,    85,19510925,  144,    0
  7015,    85,19510926,  142,    0
  7015,    85,19510927,  149,    0
  7015,    85,19510928,  141,    0
  7015,    85,19510929,  134,    0
  7015,    85,19510930,  110,    0
  7015,    85,19511001,  127,    0
  7015,    85,19511002,  138,    0
  7015,    85,19511003,  102,    0
  7015,    85,19511004,  117,    0
  7015,    85,19511005,   84,    0
  7015,    85,19511006,  108,    0
  7015,    85,19511007,  137,    0
  7015,    85,19511008,  130,    0
  7015,    85,19511009,  117,    0
  7015,    85,19511010,  131,    0
  7015,    85,19511011,  111,    0
  7015,    85,19511012,  108,    0
  7015,    85,19511013,  110,    0
  7015,    85,19511014,  108,    0
  7015,    85,19511015,  110,    0
  7015,    85,19511016,  124,    0
  7015,    85,19511017,  119,    0
  7015,    85,19511018,  119,    0
  7015,    85,19511019,   96,    0
  7015,    85,19511020,   87,    0
  7015,    85,19511021,   83,    0
  7015,    85,19511022,  105,    0
  7015,    85,19511023,  105,    0
  7015,    85,19511024,   89,    0
  7015,    85,19511025,  104,    0
  7015,    85,19511026,   56,    0
  7015,    85,19511027,   64,    0
  7015,    85,19511028,   72,    0
  7015,    85,19511029,   81,    0
  7015,    85,19511030,   98,    0
  7015,    85,19511031,   85,    0
  7015,    85,19511101,   89,    0
  7015,    85,19511102,   85,    0
  7015,    85,19511103,   81,    0
  7015,    85,19511104,   24,    0
  7015,    85,19511105,   10,    0
  7015,    85,19511106,   14,    0
  7015,    85,19511107,   24,    0
  7015,    85,19511108,   34,    0
  7015,    85,19511109,   27,    0
  7015,    85,19511110,   21,    0
  7015,    85,19511111,   -6,    0
  7015,    85,19511112,    4,    0
  7015,    85,19511113,   -3,    0
  7015,    85,19511114,   -5,    0
  7015,    85,19511115,  -14,    0
  7015,    85,19511116,  -39,    0
  7015,    85,19511117,    3,    0
  7015,    85,19511118,   31,    0
  7015,    85,19511119,   49,    0
  7015,    85,19511120,   55,    0
  7015,    85,19511121,   60,    0
  7015,    85,19511122,   67,    0
  7015,    85,19511123,   67,    0
  7015,    85,19511124,   63,    0
  7015,    85,19511125,   66,    0
  7015,    85,19511126,   40,    0
  7015,    85,19511127,   49,    0
  7015,    85,19511128,   68,    0
  7015,    85,19511129,   32,    0
  7015,    85,19511130,   15,    0
  7015,    85,19511201,   61,    0
  7015,    85,19511202,   -9,    0
  7015,    85,19511203,  -18,    0
  7015,    85,19511204,   15,    0
  7015,    85,19511205,   69,    0
  7015,    85,19511206,   69,    0
  7015,    85,19511207,   22,    0
  7015,    85,19511208,   17,    0
  7015,    85,19511209,   54,    0
  7015,    85,19511210,   53,    0
  7015,    85,19511211,  -24,    0
  7015,    85,19511212,   12,    0
  7015,    85,19511213,    9,    0
  7015,    85,19511214,    7,    0
  7015,    85,19511215,   47,    0
  7015,    85,19511216,   47,    0
  7015,    85,19511217,  -10,    0
  7015,    85,19511218,   42,    0
  7015,    85,19511219,   52,    0
  7015,    85,19511220,   52,    0
  7015,    85,19511221,   49,    0
  7015,    85,19511222,   35,    0
  7015,    85,19511223,   51,    0
  7015,    85,19511224,   41,    0
  7015,    85,19511225,   45,    0
  7015,    85,19511226,   41,    0
  7015,    85,19511227,   40,    0
  7015,    85,19511228,   38,    0
  7015,    85,19511229,   32,    0
  7015,    85,19511230,   36,    0
  7015,    85,19511231,   36,    0
  7015,    85,19520101,-9999,    9
  7015,    85,19520102,-9999,    9
